actor_id,first_name,last_name,last_update,description
1,PENELOPE,GUINESS,"2006-02-15 04:34:33",NULL
2,NICK,WAHLBERG,"2006-02-15 04:34:33",NULL
3,ED,CHASE,"2006-02-15 04:34:33",NULL
4,JENNIFER,DAVIS,"2006-02-15 04:34:33",NULL
5,JOHNNY,LOLLOBRIGIDA,"2006-02-15 04:34:33",NULL
6,BETTE,NICHOLSON,"2006-02-15 04:34:33",NULL
7,GRACE,MOSTEL,"2006-02-15 04:34:33",NULL
8,MATTHEW,JOHANSSON,"2006-02-15 04:34:33",NULL
9,JOE,SWANK,"2006-02-15 04:34:33",NULL
10,CHRISTIAN,GABLE,"2006-02-15 04:34:33",NULL
11,ZERO,CAGE,"2006-02-15 04:34:33",NULL
12,KARL,BERRY,"2006-02-15 04:34:33",NULL
13,UMA,WOOD,"2006-02-15 04:34:33",NULL
14,VIVIEN,BERGEN,"2006-02-15 04:34:33",NULL
15,CUBA,OLIVIER,"2006-02-15 04:34:33",NULL
16,FRED,COSTNER,"2006-02-15 04:34:33",NULL
17,HELEN,VOIGHT,"2006-02-15 04:34:33",NULL
18,DAN,TORN,"2006-02-15 04:34:33",NULL
19,BOB,FAWCETT,"2006-02-15 04:34:33",NULL
20,LUCILLE,TRACY,"2006-02-15 04:34:33",NULL
21,KIRSTEN,PALTROW,"2006-02-15 04:34:33",NULL
22,ELVIS,MARX,"2006-02-15 04:34:33",NULL
23,SANDRA,KILMER,"2006-02-15 04:34:33",NULL
24,CAMERON,STREEP,"2006-02-15 04:34:33",NULL
25,KEVIN,BLOOM,"2006-02-15 04:34:33",NULL
26,RIP,CRAWFORD,"2006-02-15 04:34:33",NULL
27,JULIA,MCQUEEN,"2006-02-15 04:34:33",NULL
28,WOODY,HOFFMAN,"2006-02-15 04:34:33",NULL
29,ALEC,WAYNE,"2006-02-15 04:34:33",NULL
30,SANDRA,PECK,"2006-02-15 04:34:33",NULL
31,SISSY,SOBIESKI,"2006-02-15 04:34:33",NULL
32,TIM,HACKMAN,"2006-02-15 04:34:33",NULL
33,MILLA,PECK,"2006-02-15 04:34:33",NULL
34,AUDREY,OLIVIER,"2006-02-15 04:34:33",NULL
35,JUDY,DEAN,"2006-02-15 04:34:33",NULL
36,BURT,DUKAKIS,"2006-02-15 04:34:33",NULL
37,VAL,BOLGER,"2006-02-15 04:34:33",NULL
38,TOM,MCKELLEN,"2006-02-15 04:34:33",NULL
39,GOLDIE,BRODY,"2006-02-15 04:34:33",NULL
40,JOHNNY,CAGE,"2006-02-15 04:34:33",NULL
41,JODIE,DEGENERES,"2006-02-15 04:34:33",NULL
42,TOM,MIRANDA,"2006-02-15 04:34:33",NULL
43,KIRK,JOVOVICH,"2006-02-15 04:34:33",NULL
44,NICK,STALLONE,"2006-02-15 04:34:33",NULL
45,REESE,KILMER,"2006-02-15 04:34:33",NULL
46,PARKER,GOLDBERG,"2006-02-15 04:34:33",NULL
47,JULIA,BARRYMORE,"2006-02-15 04:34:33",NULL
48,FRANCES,DAY-LEWIS,"2006-02-15 04:34:33",NULL
49,ANNE,CRONYN,"2006-02-15 04:34:33",NULL
50,NATALIE,HOPKINS,"2006-02-15 04:34:33",NULL
51,GARY,PHOENIX,"2006-02-15 04:34:33",NULL
52,CARMEN,HUNT,"2006-02-15 04:34:33",NULL
53,MENA,TEMPLE,"2006-02-15 04:34:33",NULL
54,PENELOPE,PINKETT,"2006-02-15 04:34:33",NULL
55,FAY,KILMER,"2006-02-15 04:34:33",NULL
56,DAN,HARRIS,"2006-02-15 04:34:33",NULL
57,JUDE,CRUISE,"2006-02-15 04:34:33",NULL
58,CHRISTIAN,AKROYD,"2006-02-15 04:34:33",NULL
59,DUSTIN,TAUTOU,"2006-02-15 04:34:33",NULL
60,HENRY,BERRY,"2006-02-15 04:34:33",NULL
61,CHRISTIAN,NEESON,"2006-02-15 04:34:33",NULL
62,JAYNE,NEESON,"2006-02-15 04:34:33",NULL
63,CAMERON,WRAY,"2006-02-15 04:34:33",NULL
64,RAY,JOHANSSON,"2006-02-15 04:34:33",NULL
65,ANGELA,HUDSON,"2006-02-15 04:34:33",NULL
66,MARY,TANDY,"2006-02-15 04:34:33",NULL
67,JESSICA,BAILEY,"2006-02-15 04:34:33",NULL
68,RIP,WINSLET,"2006-02-15 04:34:33",NULL
69,KENNETH,PALTROW,"2006-02-15 04:34:33",NULL
70,MICHELLE,MCCONAUGHEY,"2006-02-15 04:34:33",NULL
71,ADAM,GRANT,"2006-02-15 04:34:33",NULL
72,SEAN,WILLIAMS,"2006-02-15 04:34:33",NULL
73,GARY,PENN,"2006-02-15 04:34:33",NULL
74,MILLA,KEITEL,"2006-02-15 04:34:33",NULL
75,BURT,POSEY,"2006-02-15 04:34:33",NULL
76,ANGELINA,ASTAIRE,"2006-02-15 04:34:33",NULL
77,CARY,MCCONAUGHEY,"2006-02-15 04:34:33",NULL
78,GROUCHO,SINATRA,"2006-02-15 04:34:33",NULL
79,MAE,HOFFMAN,"2006-02-15 04:34:33",NULL
80,RALPH,CRUZ,"2006-02-15 04:34:33",NULL
81,SCARLETT,DAMON,"2006-02-15 04:34:33",NULL
82,WOODY,JOLIE,"2006-02-15 04:34:33",NULL
83,BEN,WILLIS,"2006-02-15 04:34:33",NULL
84,JAMES,PITT,"2006-02-15 04:34:33",NULL
85,MINNIE,ZELLWEGER,"2006-02-15 04:34:33",NULL
86,GREG,CHAPLIN,"2006-02-15 04:34:33",NULL
87,SPENCER,PECK,"2006-02-15 04:34:33",NULL
88,KENNETH,PESCI,"2006-02-15 04:34:33",NULL
89,CHARLIZE,DENCH,"2006-02-15 04:34:33",NULL
90,SEAN,GUINESS,"2006-02-15 04:34:33",NULL
91,CHRISTOPHER,BERRY,"2006-02-15 04:34:33",NULL
92,KIRSTEN,AKROYD,"2006-02-15 04:34:33",NULL
93,ELLEN,PRESLEY,"2006-02-15 04:34:33",NULL
94,KENNETH,TORN,"2006-02-15 04:34:33",NULL
95,DARYL,WAHLBERG,"2006-02-15 04:34:33",NULL
96,GENE,WILLIS,"2006-02-15 04:34:33",NULL
97,MEG,HAWKE,"2006-02-15 04:34:33",NULL
98,CHRIS,BRIDGES,"2006-02-15 04:34:33",NULL
99,JIM,MOSTEL,"2006-02-15 04:34:33",NULL
100,SPENCER,DEPP,"2006-02-15 04:34:33",NULL
101,SUSAN,DAVIS,"2006-02-15 04:34:33",NULL
102,WALTER,TORN,"2006-02-15 04:34:33",NULL
103,MATTHEW,LEIGH,"2006-02-15 04:34:33",NULL
104,PENELOPE,CRONYN,"2006-02-15 04:34:33",NULL
105,SIDNEY,CROWE,"2006-02-15 04:34:33",NULL
106,GROUCHO,DUNST,"2006-02-15 04:34:33",NULL
107,GINA,DEGENERES,"2006-02-15 04:34:33",NULL
108,WARREN,NOLTE,"2006-02-15 04:34:33",NULL
109,SYLVESTER,DERN,"2006-02-15 04:34:33",NULL
110,SUSAN,DAVIS,"2006-02-15 04:34:33",NULL
111,CAMERON,ZELLWEGER,"2006-02-15 04:34:33",NULL
112,RUSSELL,BACALL,"2006-02-15 04:34:33",NULL
113,MORGAN,HOPKINS,"2006-02-15 04:34:33",NULL
114,MORGAN,MCDORMAND,"2006-02-15 04:34:33",NULL
115,HARRISON,BALE,"2006-02-15 04:34:33",NULL
116,DAN,STREEP,"2006-02-15 04:34:33",NULL
117,RENEE,TRACY,"2006-02-15 04:34:33",NULL
118,CUBA,ALLEN,"2006-02-15 04:34:33",NULL
119,WARREN,JACKMAN,"2006-02-15 04:34:33",NULL
120,PENELOPE,MONROE,"2006-02-15 04:34:33",NULL
121,LIZA,BERGMAN,"2006-02-15 04:34:33",NULL
122,SALMA,NOLTE,"2006-02-15 04:34:33",NULL
123,JULIANNE,DENCH,"2006-02-15 04:34:33",NULL
124,SCARLETT,BENING,"2006-02-15 04:34:33",NULL
125,ALBERT,NOLTE,"2006-02-15 04:34:33",NULL
126,FRANCES,TOMEI,"2006-02-15 04:34:33",NULL
127,KEVIN,GARLAND,"2006-02-15 04:34:33",NULL
128,CATE,MCQUEEN,"2006-02-15 04:34:33",NULL
129,DARYL,CRAWFORD,"2006-02-15 04:34:33",NULL
130,GRETA,KEITEL,"2006-02-15 04:34:33",NULL
131,JANE,JACKMAN,"2006-02-15 04:34:33",NULL
132,ADAM,HOPPER,"2006-02-15 04:34:33",NULL
133,RICHARD,PENN,"2006-02-15 04:34:33",NULL
134,GENE,HOPKINS,"2006-02-15 04:34:33",NULL
135,RITA,REYNOLDS,"2006-02-15 04:34:33",NULL
136,ED,MANSFIELD,"2006-02-15 04:34:33",NULL
137,MORGAN,WILLIAMS,"2006-02-15 04:34:33",NULL
138,LUCILLE,DEE,"2006-02-15 04:34:33",NULL
139,EWAN,GOODING,"2006-02-15 04:34:33",NULL
140,WHOOPI,HURT,"2006-02-15 04:34:33",NULL
141,CATE,HARRIS,"2006-02-15 04:34:33",NULL
142,JADA,RYDER,"2006-02-15 04:34:33",NULL
143,RIVER,DEAN,"2006-02-15 04:34:33",NULL
144,ANGELA,WITHERSPOON,"2006-02-15 04:34:33",NULL
145,KIM,ALLEN,"2006-02-15 04:34:33",NULL
146,ALBERT,JOHANSSON,"2006-02-15 04:34:33",NULL
147,FAY,WINSLET,"2006-02-15 04:34:33",NULL
148,EMILY,DEE,"2006-02-15 04:34:33",NULL
149,RUSSELL,TEMPLE,"2006-02-15 04:34:33",NULL
150,JAYNE,NOLTE,"2006-02-15 04:34:33",NULL
151,GEOFFREY,HESTON,"2006-02-15 04:34:33",NULL
152,BEN,HARRIS,"2006-02-15 04:34:33",NULL
153,MINNIE,KILMER,"2006-02-15 04:34:33",NULL
154,MERYL,GIBSON,"2006-02-15 04:34:33",NULL
155,IAN,TANDY,"2006-02-15 04:34:33",NULL
156,FAY,WOOD,"2006-02-15 04:34:33",NULL
157,GRETA,MALDEN,"2006-02-15 04:34:33",NULL
158,VIVIEN,BASINGER,"2006-02-15 04:34:33",NULL
159,LAURA,BRODY,"2006-02-15 04:34:33",NULL
160,CHRIS,DEPP,"2006-02-15 04:34:33",NULL
161,HARVEY,HOPE,"2006-02-15 04:34:33",NULL
162,OPRAH,KILMER,"2006-02-15 04:34:33",NULL
163,CHRISTOPHER,WEST,"2006-02-15 04:34:33",NULL
164,HUMPHREY,WILLIS,"2006-02-15 04:34:33",NULL
165,AL,GARLAND,"2006-02-15 04:34:33",NULL
166,NICK,DEGENERES,"2006-02-15 04:34:33",NULL
167,LAURENCE,BULLOCK,"2006-02-15 04:34:33",NULL
168,WILL,WILSON,"2006-02-15 04:34:33",NULL
169,KENNETH,HOFFMAN,"2006-02-15 04:34:33",NULL
170,MENA,HOPPER,"2006-02-15 04:34:33",NULL
171,OLYMPIA,PFEIFFER,"2006-02-15 04:34:33",NULL
172,GROUCHO,WILLIAMS,"2018-10-04 20:18:20",NULL
173,ALAN,DREYFUSS,"2006-02-15 04:34:33",NULL
174,MICHAEL,BENING,"2006-02-15 04:34:33",NULL
175,WILLIAM,HACKMAN,"2006-02-15 04:34:33",NULL
176,JON,CHASE,"2006-02-15 04:34:33",NULL
177,GENE,MCKELLEN,"2006-02-15 04:34:33",NULL
178,LISA,MONROE,"2006-02-15 04:34:33",NULL
179,ED,GUINESS,"2006-02-15 04:34:33",NULL
180,JEFF,SILVERSTONE,"2006-02-15 04:34:33",NULL
181,MATTHEW,CARREY,"2006-02-15 04:34:33",NULL
182,DEBBIE,AKROYD,"2006-02-15 04:34:33",NULL
183,RUSSELL,CLOSE,"2006-02-15 04:34:33",NULL
184,HUMPHREY,GARLAND,"2006-02-15 04:34:33",NULL
185,MICHAEL,BOLGER,"2006-02-15 04:34:33",NULL
186,JULIA,ZELLWEGER,"2006-02-15 04:34:33",NULL
187,RENEE,BALL,"2006-02-15 04:34:33",NULL
188,ROCK,DUKAKIS,"2006-02-15 04:34:33",NULL
189,CUBA,BIRCH,"2006-02-15 04:34:33",NULL
190,AUDREY,BAILEY,"2006-02-15 04:34:33",NULL
191,GREGORY,GOODING,"2006-02-15 04:34:33",NULL
192,JOHN,SUVARI,"2006-02-15 04:34:33",NULL
193,BURT,TEMPLE,"2006-02-15 04:34:33",NULL
194,MERYL,ALLEN,"2006-02-15 04:34:33",NULL
195,JAYNE,SILVERSTONE,"2006-02-15 04:34:33",NULL
196,BELA,WALKEN,"2006-02-15 04:34:33",NULL
197,REESE,WEST,"2006-02-15 04:34:33",NULL
198,MARY,KEITEL,"2006-02-15 04:34:33",NULL
199,JULIA,FAWCETT,"2006-02-15 04:34:33",NULL
200,THORA,TEMPLE,"2006-02-15 04:34:33",NULL
